"codcliente";"nombre";"razonsocial";"cifnif";"telefono1";"telefono2";"fax";"email";"web";"codsubcuenta";"codserie";"codpago";"personafisica";"codtarifa";"codgrupo";"observaciones";"codagente";"fechaalta";"fechabaja";"idcontactofact";"idcontactoenv";"direccion";"apartado";"codpostal";"ciudad";"provincia";"codpais";"bank";"iban";"swift"
"001";"Juan Pérez";"Pérez & Asociados";"A12345678";"912345678";"923456789";"914567890";"juan.perez@email.com";"www.perezasociados.com";"4300";"A";"30";"0";"1";"2";"";"5";"2024-01-01";"";"101";"201";"Calle Mayor 1";"";"28001";"Madrid";"Madrid";"ES";"Banco Santander";"ES9121000418450200051332";"BSCHESMM"
"002";"María López";"López Consultores";"B87654321";"911223344";"922334455";"933445566";"mlopez@email.com";"www.lopezconsultores.com";"4301";"B";"45";"0";"2";"3";"";"8";"2024-02-05";"";"102";"202";"Avenida del Sol 22";"";"41002";"Sevilla";"Sevilla";"ES";"BBVA";"ES9121000418450200051333";"BBVAESMM"
"003";"Carlos Fernández";"Fernández Innovación SL";"C12349876";"915678432";"926789543";"937890654";"cfernandez@email.com";"www.fernandezinnovacion.com";"4302";"C";"60";"0";"3";"4";"";"12";"2024-03-10";"";"103";"203";"Calle Luna 10";"";"08003";"Barcelona";"Barcelona";"ES";"CaixaBank";"ES9121000418450200051334";"CAIXESMM"
"004";"Ana Martínez";"Martínez y Compañía";"D98765432";"916543210";"927654321";"938765432";"amartinez@email.com";"www.martinezycia.com";"4303";"A";"30";"1";"1";"5";"";"6";"2024-04-15";"";"104";"204";"Paseo de la Castellana 45";"";"28046";"Madrid";"Madrid";"ES";"Sabadell";"ES9121000418450200051335";"SABDESMM"
"005";"Pedro Sánchez";"Sánchez Global";"E87654321";"917891234";"928902345";"939013456";"psanchez@email.com";"www.sanchezglobal.com";"4304";"B";"45";"1";"2";"6";"";"7";"2024-05-20";"";"105";"205";"Calle Gran Vía 8";"";"28013";"Madrid";"Madrid";"ES";"Banco Santander";"ES9121000418450200051336";"BSCHESMM"
"006";"Laura Torres";"Torres Consulting";"F65432198";"918902345";"929013456";"930124567";"ltorres@email.com";"www.torresconsulting.com";"4305";"C";"60";"0";"3";"7";"";"9";"2024-06-25";"";"106";"206";"Avenida de América 12";"";"28002";"Madrid";"Madrid";"ES";"BBVA";"ES9121000418450200051337";"BBVAESMM"
"007";"Javier Gómez";"Gómez Tech";"G32165487";"919013456";"930124567";"941235678";"jgomez@email.com";"www.gomeztech.com";"4306";"A";"30";"0";"1";"8";"";"10";"2024-07-30";"";"107";"207";"Calle Serrano 78";"";"28006";"Madrid";"Madrid";"ES";"CaixaBank";"ES9121000418450200051338";"CAIXESMM"
"008";"Carmen Ruiz";"Ruiz Importaciones";"H78912345";"920124567";"931235678";"942346789";"cruiz@email.com";"www.ruizimport.com";"4307";"B";"45";"1";"2";"9";"";"11";"2024-08-15";"";"108";"208";"Paseo Marítimo 5";"";"29016";"Málaga";"Málaga";"ES";"Sabadell";"ES9121000418450200051339";"SABDESMM"
"009";"Luis Ramírez";"Ramírez Construcciones";"I56789123";"921235678";"932346789";"943457890";"lramirez@email.com";"www.ramirezconstrucciones.com";"4308";"C";"60";"0";"3";"10";"";"13";"2024-09-10";"";"109";"209";"Avenida de la Industria 14";"";"28108";"Alcobendas";"Madrid";"ES";"Banco Santander";"ES9121000418450200051340";"BSCHESMM"
"010";"Patricia Delgado";"Delgado Marketing";"J45678912";"922346789";"933457890";"944568901";"pdelgado@email.com";"www.delgadomkt.com";"4309";"A";"30";"1";"1";"11";"";"14";"2024-10-05";"";"110";"210";"Calle Alcalá 99";"";"28009";"Madrid";"Madrid";"ES";"BBVA";"ES9121000418450200051341";"BBVAESMM"
"011";"Diego Herrera";"Herrera Logística";"K34567891";"923457890";"934568901";"945679012";"dherrera@email.com";"www.herreralogistica.com";"4310";"B";"45";"0";"2";"12";"";"15";"2024-11-12";"";"111";"211";"Avenida del Puerto 15";"";"46024";"Valencia";"Valencia";"ES";"CaixaBank";"ES9121000418450200051342";"CAIXESMM"
"012";"Sofía Castro";"Castro Retail";"L23456789";"924568901";"935679012";"946780123";"scastro@email.com";"www.castroretail.com";"4311";"C";"60";"1";"3";"13";"";"16";"2024-12-20";"";"112";"212";"Calle Comercio 25";"";"50008";"Zaragoza";"Zaragoza";"ES";"Sabadell";"ES9121000418450200051343";"SABDESMM"
"013";"Raúl Ortega";"Ortega & Partners";"M98765432";"925679012";"936780123";"947891234";"rortega@email.com";"www.ortegapartners.com";"4312";"A";"30";"0";"1";"14";"";"17";"2025-01-15";"";"113";"213";"Paseo Independencia 40";"";"50004";"Zaragoza";"Zaragoza";"ES";"Banco Santander";"ES9121000418450200051344";"BSCHESMM"
"014";"Beatriz Navarro";"Navarro Creative";"N87654321";"926780123";"937891234";"948902345";"bnavarro@email.com";"www.navarrocreative.com";"4313";"B";"45";"1";"2";"15";"";"18";"2025-02-10";"";"114";"214";"Calle San Juan 17";"";"03002";"Alicante";"Alicante";"ES";"BBVA";"ES9121000418450200051345";"BBVAESMM"
