"codproveedor";"nombre";"razonsocial";"cifnif";"telefono1";"telefono2";"fax";"email";"web";"codsubcuenta";"codserie";"codpago";"personafisica";"tipoidfiscal";"observaciones";"direccion";"apartado";"codpostal";"ciudad";"provincia";"codpais";"bank";"iban";"swift"
"001";"Juan Pérez";"Suministros Pérez SL";"A12345678";"912345678";"923456789";"914567890";"contacto@sperez.com";"www.sperez.com";"5000";"A";"30";"0";"CIF";"";"Calle Mayor 15";"";"28001";"Madrid";"Madrid";"ES";"Banco Santander";"ES9121000418450200051332";"BSCHESMM"
"002";"María López";"López Equipamientos SA";"B87654321";"911223344";"922334455";"933445566";"info@lopezequip.com";"www.lopezequip.com";"5001";"B";"45";"0";"CIF";"";"Avenida del Sol 22";"";"41002";"Sevilla";"Sevilla";"ES";"BBVA";"ES9121000418450200051333";"BBVAESMM"
"003";"Carlos Fernández";"Materiales Fernández SL";"C12349876";"915678432";"926789543";"937890654";"ventas@fernanmaterial.com";"www.fernanmaterial.com";"5002";"C";"60";"0";"CIF";"";"Calle Luna 10";"";"08003";"Barcelona";"Barcelona";"ES";"CaixaBank";"ES9121000418450200051334";"CAIXESMM"
"004";"Ana Martínez";"Distribuciones Martínez";"D98765432";"916543210";"927654321";"938765432";"contacto@dismartinez.com";"www.dismartinez.com";"5003";"A";"30";"1";"DNI";"";"Paseo de la Castellana 45";"";"28046";"Madrid";"Madrid";"ES";"Sabadell";"ES9121000418450200051335";"SABDESMM"
"005";"Pedro Sánchez";"Grupo Sánchez Global";"E87654321";"917891234";"928902345";"939013456";"pedro@sanchezglobal.com";"www.sanchezglobal.com";"5004";"B";"45";"0";"CIF";"";"Calle Gran Vía 8";"";"28013";"Madrid";"Madrid";"ES";"Banco Santander";"ES9121000418450200051336";"BSCHESMM"
"006";"Laura Torres";"Torres Consulting";"F65432198";"918902345";"929013456";"930124567";"laura@torresconsult.com";"www.torresconsult.com";"5005";"C";"60";"1";"DNI";"";"Avenida de América 12";"";"28002";"Madrid";"Madrid";"ES";"BBVA";"ES9121000418450200051337";"BBVAESMM"
"007";"Javier Gómez";"Gómez Soluciones Industriales";"G32165487";"919013456";"930124567";"941235678";"info@gomezsoluciones.com";"www.gomezsoluciones.com";"5006";"A";"30";"0";"CIF";"";"Calle Serrano 78";"";"28006";"Madrid";"Madrid";"ES";"CaixaBank";"ES9121000418450200051338";"CAIXESMM"
"008";"Carmen Ruiz";"Ruiz Importaciones SL";"H78912345";"920124567";"931235678";"942346789";"ventas@ruizimport.com";"www.ruizimport.com";"5007";"B";"45";"0";"CIF";"";"Paseo Marítimo 5";"";"29016";"Málaga";"Málaga";"ES";"Sabadell";"ES9121000418450200051339";"SABDESMM"
"009";"Luis Ramírez";"Ramírez Construcciones";"I56789123";"921235678";"932346789";"943457890";"contacto@ramirezconstrucciones.com";"www.ramirezconstrucciones.com";"5008";"C";"60";"0";"CIF";"";"Avenida de la Industria 14";"";"28108";"Alcobendas";"Madrid";"ES";"Banco Santander";"ES9121000418450200051340";"BSCHESMM"
"010";"Patricia Delgado";"Delgado Marketing";"J45678912";"922346789";"933457890";"944568901";"info@delgadomkt.com";"www.delgadomkt.com";"5009";"A";"30";"1";"DNI";"";"Calle Alcalá 99";"";"28009";"Madrid";"Madrid";"ES";"BBVA";"ES9121000418450200051341";"BBVAESMM"
